shipment_id,ship_date,order_id,carrier_id,carrier_name,service_level,origin_region,destination_zone,package_weight_lb,package_length_in,package_width_in,package_height_in,billed_weight_lb,base_cost,fuel_surcharge,residential_fee,delivery_area_fee,oversized_fee,address_correction_fee,ltl_handling_fee,total_shipping_cost,delivered_days
SHP100000,2024-12-25,ORD802393,CR002,FedEx,2Day,West,3,12.47,22,22,24,84.0,1874.04,229.17,4.95,0.0,18.5,0.0,0.0,2126.66,3
SHP100001,2024-03-18,ORD800638,CR001,UPS,Ground,West,8,7.86,25,18,14,45.5,510.97,53.59,4.95,0.0,0.0,0.0,0.0,569.51,2
SHP100002,2025-06-09,ORD802075,CR001,UPS,Ground,Northeast,2,13.89,17,14,18,31.0,241.8,40.96,4.95,0.0,0.0,0.0,0.0,287.71,2
SHP100003,2024-09-29,ORD802472,CR001,UPS,Ground,South,6,3.47,23,7,13,15.5,127.41,17.82,4.95,0.0,0.0,0.0,0.0,150.18,3
SHP100004,2025-11-22,ORD801160,CR002,FedEx,Ground,Northeast,4,9.13,25,24,9,39.0,358.8,49.88,0.0,0.0,18.5,0.0,0.0,427.18,2
SHP100005,2024-08-30,ORD802928,CR004,XPO LTL,Standard LTL,South,8,260.77,23,19,37,261.0,248.47,42.05,0.0,0.0,0.0,0.0,0.0,290.52,7
SHP100006,2025-07-27,ORD801917,CR002,FedEx,Ground,Northeast,3,14.61,25,7,22,28.0,241.08,38.31,4.95,0.0,0.0,0.0,0.0,284.34,2
SHP100007,2024-09-15,ORD802376,CR004,XPO LTL,Standard LTL,Midwest,4,167.33,40,27,19,167.5,119.26,19.65,0.0,0.0,0.0,0.0,0.0,138.91,4
SHP100008,2025-07-03,ORD801314,CR001,UPS,2nd Day Air,Northeast,8,10.15,15,6,6,10.5,142.49,22.47,4.95,0.0,0.0,0.0,0.0,169.91,5
SHP100009,2024-01-05,ORD802190,CR002,FedEx,2Day,Midwest,5,4.75,13,21,11,22.0,333.96,52.47,0.0,0.0,0.0,0.0,0.0,386.43,4
SHP100010,2024-05-24,ORD800922,CR002,FedEx,Ground,West,6,9.23,9,6,10,9.5,71.16,11.06,4.95,0.0,0.0,0.0,0.0,87.17,4
SHP100011,2025-07-03,ORD803228,CR002,FedEx,Express Saver,South,6,13.21,7,25,5,13.5,154.03,26.21,4.95,0.0,18.5,0.0,0.0,203.69,2
SHP100012,2024-06-05,ORD802443,CR003,USPS,Priority Mail,West,3,19.02,14,8,23,19.5,140.21,24.21,0.0,0.0,0.0,0.0,0.0,164.42,6
