shipment_id,ship_date,order_id,carrier_id,carrier_name,service_level,origin_region,destination_zone,package_weight_lb,package_length_in,package_width_in,package_height_in,billed_weight_lb,base_cost,fuel_surcharge,residential_fee,delivery_area_fee,oversized_fee,address_correction_fee,ltl_handling_fee,total_shipping_cost,delivered_days,dimensional_weight_lb,billed_above_actual_flag,non_fuel_surcharge_total,cost_per_billed_lb,weight_delta_lb,base_rate_per_lb,proposed_rate_per_lb,proposed_cost,row_potential_savings,savings_pct,lane
SHP100000,2024-12-25,ORD802393,CR002,FedEx,2Day,West,3,12.47,22,22,24,84.0,1874.04,229.17,4.95,0.0,18.5,0.0,0.0,2126.66,3,83.57,1,23.45,25.32,71.53,22.31,20.168,1717.56,409.1,0.1924,West → Zone 3
SHP100001,2024-03-18,ORD800638,CR001,UPS,Ground,West,8,7.86,25,18,14,45.5,510.97,53.59,4.95,0.0,0.0,0.0,0.0,569.51,2,45.32,1,4.95,12.52,37.64,11.23,10.327,474.83,94.68,0.1662,West → Zone 8
SHP100002,2025-06-09,ORD802075,CR001,UPS,Ground,Northeast,2,13.89,17,14,18,31.0,241.8,40.96,4.95,0.0,0.0,0.0,0.0,287.71,2,30.82,1,4.95,9.28,17.11,7.8,7.081,224.46,63.25,0.2198,Northeast → Zone 2
SHP100003,2024-09-29,ORD802472,CR001,UPS,Ground,South,6,3.47,23,7,13,15.5,127.41,17.82,4.95,0.0,0.0,0.0,0.0,150.18,3,15.06,1,4.95,9.69,12.03,8.22,7.479,120.87,29.31,0.1952,South → Zone 6
SHP100004,2025-11-22,ORD801160,CR002,FedEx,Ground,Northeast,4,9.13,25,24,9,39.0,358.8,49.88,0.0,0.0,18.5,0.0,0.0,427.18,2,38.85,1,18.5,10.95,29.87,9.2,8.348,344.07,83.11,0.1946,Northeast → Zone 4
SHP100005,2024-08-30,ORD802928,CR004,XPO LTL,Standard LTL,South,8,260.77,23,19,37,261.0,248.47,42.05,0.0,0.0,0.0,0.0,0.0,290.52,7,116.32,1,0.0,1.11,0.23,0.952,0.896,233.86,56.66,0.195,South → Zone 8
SHP100006,2025-07-27,ORD801917,CR002,FedEx,Ground,Northeast,3,14.61,25,7,22,28.0,241.08,38.31,4.95,0.0,0.0,0.0,0.0,284.34,2,27.7,1,4.95,10.15,13.39,8.61,7.8,223.35,60.99,0.2145,Northeast → Zone 3
SHP100007,2024-09-15,ORD802376,CR004,XPO LTL,Standard LTL,Midwest,4,167.33,40,27,19,167.5,119.26,19.65,0.0,0.0,0.0,0.0,0.0,138.91,4,147.63,1,0.0,0.83,0.17,0.712,0.665,111.39,27.52,0.1981,Midwest → Zone 4
SHP100008,2025-07-03,ORD801314,CR001,UPS,2nd Day Air,Northeast,8,10.15,15,6,6,10.5,142.49,22.47,4.95,0.0,0.0,0.0,0.0,169.91,5,3.88,1,4.95,16.18,0.35,13.57,12.168,132.71,37.2,0.2189,Northeast → Zone 8
SHP100009,2024-01-05,ORD802190,CR002,FedEx,2Day,Midwest,5,4.75,13,21,11,22.0,333.96,52.47,0.0,0.0,0.0,0.0,0.0,386.43,4,21.6,1,0.0,17.57,17.25,15.18,13.466,296.25,90.18,0.2334,Midwest → Zone 5
SHP100010,2024-05-24,ORD800922,CR002,FedEx,Ground,West,6,9.23,9,6,10,9.5,71.16,11.06,4.95,0.0,0.0,0.0,0.0,87.17,4,3.88,1,4.95,9.18,0.27,7.49,6.723,68.82,18.35,0.2105,West → Zone 6
SHP100011,2025-07-03,ORD803228,CR002,FedEx,Express Saver,South,6,13.21,7,25,5,13.5,154.03,26.21,4.95,0.0,18.5,0.0,0.0,203.69,2,6.29,1,23.45,15.09,0.29,11.41,10.196,161.1,42.59,0.2091,South → Zone 6
SHP100012,2024-06-05,ORD802443,CR003,USPS,Priority Mail,West,3,19.02,14,8,23,19.5,140.21,24.21,0.0,0.0,0.0,0.0,0.0,164.42,6,18.53,1,0.0,8.43,0.48,7.19,6.973,135.97,28.45,0.173,West → Zone 3
SHP100013,2025-09-07,ORD804146,CR002,FedEx,Ground,Midwest,7,16.05,15,15,7,16.5,149.16,24.34,4.95,0.0,0.0,0.0,0.0,178.45,3,11.33,1,4.95,10.82,0.45,9.04,8.175,139.84,38.61,0.2164,Midwest → Zone 7
SHP100014,2024-10-22,ORD800574,CR003,USPS,Ground Advantage,South,5,4.65,4,25,22,16.0,95.2,12.56,4.95,0.0,0.0,0.0,0.0,112.71,1,15.83,1,4.95,7.04,11.35,5.95,5.764,97.17,15.54,0.1379,South → Zone 5
SHP100015,2025-08-24,ORD804158,CR001,UPS,Ground,South,7,5.48,20,14,15,30.5,325.13,38.97,0.0,6.75,0.0,0.0,0.0,370.85,3,30.22,1,6.75,12.16,25.02,10.66,9.772,304.8,66.05,0.1781,South → Zone 7
SHP100016,2025-10-27,ORD800722,CR004,XPO LTL,Standard LTL,South,2,215.72,24,18,49,216.0,128.09,20.49,0.0,0.0,0.0,0.0,0.0,148.58,4,152.29,1,0.0,0.69,0.28,0.593,0.568,122.69,25.89,0.1742,South → Zone 2
SHP100017,2025-10-31,ORD803335,CR001,UPS,Ground,West,6,2.93,21,4,17,10.5,86.31,12.27,4.95,0.0,0.0,0.0,0.0,103.53,5,10.27,1,4.95,9.86,7.57,8.22,7.479,83.48,20.05,0.1937,West → Zone 6
SHP100018,2025-10-04,ORD803310,CR001,UPS,Ground,Midwest,2,5.84,21,10,11,17.0,100.81,11.87,4.95,0.0,0.0,0.0,0.0,117.63,1,16.62,1,4.95,6.92,11.16,5.93,5.384,96.48,21.15,0.1798,Midwest → Zone 2
SHP100019,2024-02-20,ORD800774,CR001,UPS,Ground,Midwest,8,7.37,17,17,14,29.5,331.29,58.16,4.95,0.0,0.0,0.0,0.0,394.39,2,29.11,1,4.95,13.37,22.13,11.23,10.327,309.6,84.79,0.215,Midwest → Zone 8
SHP100020,2024-03-25,ORD801555,CR004,XPO LTL,Standard LTL,Midwest,4,98.2,22,37,28,164.0,116.77,15.22,0.0,0.0,0.0,0.0,0.0,131.99,5,163.97,1,0.0,0.8,65.8,0.712,0.665,109.06,22.93,0.1737,Midwest → Zone 4
SHP100021,2024-09-12,ORD802599,CR002,FedEx,Ground,Midwest,7,24.5,25,15,20,54.0,904.5,125.72,0.0,0.0,0.0,12.0,0.0,1042.22,3,53.96,1,12.0,19.3,29.5,16.75,14.947,819.14,223.08,0.214,Midwest → Zone 7
SHP100022,2024-10-07,ORD801622,CR001,UPS,2nd Day Air,Northeast,7,7.88,8,14,9,8.0,91.12,9.97,0.0,6.75,0.0,0.0,0.0,107.84,4,7.25,1,6.75,13.48,0.12,11.39,10.399,89.94,17.9,0.166,Northeast → Zone 7
SHP100023,2024-12-07,ORD803067,CR003,USPS,Priority Mail,West,3,11.49,15,16,24,41.5,384.29,66.54,4.95,0.0,0.0,0.0,0.0,455.78,1,41.44,1,4.95,10.98,30.01,9.26,8.892,373.97,81.81,0.1795,West → Zone 3
